,sample_id,source,title,journal,author,longitude,latitude,method,material,type,composition,rock_name,sio2,tio2,al2o3,cr2o3,fe2o3,fe2o3t,feo,feot,nio,mno,mgo,cao,na2o,k2o,p2o5,loi,h2o,h2o_m,h2o_p,s,co2,f,cl,ag,as,au,b,ba,be,bi,cd,co,cr,cs,cu,ga,hf,hg,i,ir,k,li,mn,mo,nb,ni,os,pb,pd,pt,rb,re,sb,sc,se,sn,sr,ta,te,th,ti,tl,u,v,w,y,zn,zr,la,ce,pr,nd,sm,eu,gd,tb,dy,ho,er,tm,yb,lu,sr87_sr86,nd143_nd144,pb206_pb204,pb207_pb204,pb208_pb204,hf176_hf177,lu176_hf177,os187_os188,be10_be,he3_he4,rb87_sr86,sm147_nd144,u238_pb206,u235_pb207,th232_pb208
0,LO-1-4,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,EMP (EPMA),igneous,volcanic,,tholeiite,48.69,2.82,13.44,,,,,11.82,,,6.81,11.68,2.54,0.54,0.32,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LO-1-4,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.588,,,0.152,0.033,0.006,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LO-1-6,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.613,,,0.102,0.066,0.006,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LO-1-6,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,EMP (EPMA),igneous,volcanic,,tholeiite,49.24,2.67,13.61,,,,,12.01,,,6.7,11.79,2.57,0.44,0.32,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LO-1-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,EMP (EPMA),igneous,volcanic,,tholeiite,49.27,2.79,13.96,,,,,12.23,,,6.28,11.41,2.61,0.45,0.31,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LO-1-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-155.27,18.95,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.591,,,0.15,0.045,0.009,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,KIL-1-BR,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,EMP (EPMA),igneous,volcanic,,tholeiite,51.5,2.57,13.71,,,,,10.67,,,6.4,11.2,2.3,0.43,0.26,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,KIL-1-BR,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.442,,,0.174,0.051,0.009,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,KIL-1-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,EMP (EPMA),igneous,volcanic,,tholeiite,51.02,2.56,13.64,,,,,10.62,,,6.47,11.26,2.29,0.44,0.28,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,KIL-1-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.516,,,0.122,0.046,0.012,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KIL-1-4,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,EMP (EPMA),igneous,volcanic,,tholeiite,51.23,2.58,13.89,,,,,10.58,,,6.41,11.13,2.24,0.44,0.27,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KIL-1-4,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.557,,,0.102,0.054,0.008,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KIL-1-5,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.551,,,0.128,0.145,0.009,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KIL-1-5,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,EMP (EPMA),igneous,volcanic,,tholeiite,50.78,2.86,13.95,,,,,11.02,,,6.2,10.89,2.36,0.49,0.31,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,KIL-1-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.542,,,0.08,0.136,0.006,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,KIL-1-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.54,19.62,EMP (EPMA),igneous,volcanic,,tholeiite,51.07,2.42,13.57,,,,,10.52,,,7.23,11.27,2.2,0.42,0.24,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,KIL-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,EMP (EPMA),igneous,volcanic,,tholeiite,51.72,2.66,14.1,,,,,10.11,,,6.37,11.07,2.28,0.46,0.3,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,KIL-2-1,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.437,,,0.097,0.047,0.015,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,KIL-2-8,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.568,,,0.088,0.097,0.008,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,KIL-2-8,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,EMP (EPMA),igneous,volcanic,,tholeiite,51.76,2.73,14.02,,,,,10.17,,,6.34,10.98,2.28,0.47,0.29,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,KIL-2-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,EMP (EPMA),igneous,volcanic,,tholeiite,51.38,2.64,13.73,,,,,10.11,,,6.64,11.15,2.41,0.47,0.26,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,KIL-2-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.43,19.67,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.478,,,0.128,0.075,0.009,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,KIL-3-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,EMP (EPMA),igneous,volcanic,,tholeiite,51.71,3.25,13.94,,,,,10.64,,,5.77,9.95,2.56,0.6,0.34,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,KIL-3-9,GEOROC,"MAJOR ELEMENT, VOLATILE, AND STABLE ISOTOPE GEOCHEMISTRY OF HAWAIIAN SUBMARINE THOLEIITIC GLASSES",J. GEOPHYS. RES.,"GARCIA, M. O.; MUENOW, D. W.; AGGREY, K. E.; O^NEIL, J. R.",-154.31,19.75,MS,igneous,volcanic,,tholeiite,,,,,,,,,,,,,,,,,0.597,,,0.105,0.084,0.009,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
